FIPS,County,State,Population,Year,Total Votes,Democrat Votes,Republican Votes,Democrat %,Republican %,Winner,housing_Median Home Value,housing_% of National Median,housing_Price Category,age_Median Age,temp_Avg Temperature (°F),temp_Data Points,rent_Metro Area,rent_Median Rent,rent_Efficiency,rent_1BR,rent_2BR,rent_3BR,rent_4BR,rent_Entity ID
01083,Limestone County,Alabama,107577,2023,53096,14581,37887,27.46,71.36,Republican,255100,148.1,Moderate,40.5,61.95,12,"Huntsville, AL MSA",1029,737,872,1029,1354,1612,0108399999
01085,Lowndes County,Alabama,10008,2023,5652,3867,1758,68.42,31.1,Democrat,80600,46.8,Very Affordable,42.7,67.28,12,"Montgomery, AL MSA",977,716,817,977,1241,1595,0108599999
01087,Macon County,Alabama,18951,2023,7820,6084,1682,77.8,21.51,Democrat,95700,55.5,Affordable,37.8,65.51,12,"Macon County, AL",772,584,586,772,977,1315,0108799999
01089,Madison County,Alabama,397135,2023,196355,87824,105430,44.73,53.69,Republican,267800,155.4,Expensive,38.2,62.15,12,"Huntsville, AL MSA",1029,737,872,1029,1354,1612,0108999999
01091,Marengo County,Alabama,19027,2023,9673,4631,4995,47.88,51.64,Republican,103400,60.0,Affordable,41.1,66.81,12,"Marengo County, AL",740,560,655,740,929,1109,0109199999
01093,Marion County,Alabama,29190,2023,13523,1197,12245,8.85,90.55,Republican,104300,60.5,Affordable,43.8,63.32,12,"Marion County, AL",740,495,562,740,960,1260,0109399999
01095,Marshall County,Alabama,98712,2023,40277,5553,34434,13.79,85.49,Republican,183400,106.4,Moderate,38.6,62.72,12,"Marshall County, AL",740,565,569,740,990,994,0109599999
01097,Mobile County,Alabama,413162,2023,174545,72055,100759,41.28,57.73,Republican,176600,102.5,Moderate,38.4,69.70,12,"Mobile, AL HUD Metro FMR Area",986,738,793,986,1318,1400,0109799999
01099,Monroe County,Alabama,19580,2023,9799,3740,6007,38.17,61.3,Republican,114900,66.7,Affordable,43.9,67.45,12,"Monroe County, AL",740,560,655,740,1046,1078,0109999999
01101,Montgomery County,Alabama,227197,2023,89375,57946,30477,64.83,34.1,Democrat,160100,92.9,Moderate,36.9,66.92,12,"Montgomery, AL MSA",977,716,817,977,1241,1595,0110199999
01103,Morgan County,Alabama,123742,2023,53369,12392,40449,23.22,75.79,Republican,193000,112.0,Moderate,40.3,62.64,12,"Decatur, AL MSA",795,623,651,795,1038,1151,0110399999
01105,Perry County,Alabama,8231,2023,4457,3174,1269,71.21,28.47,Democrat,87700,50.9,Affordable,42.5,66.03,12,"Perry County, AL",799,604,707,799,972,1197,0110599999
01107,Pickens County,Alabama,18843,2023,8898,3388,5465,38.08,61.42,Republican,123300,71.6,Affordable,42.5,65.46,12,"Pickens County, AL HUD Metro FMR Area",740,558,562,740,979,994,0110799999
01109,Pike County,Alabama,32953,2023,13214,4899,8224,37.07,62.24,Republican,149000,86.5,Moderate,31.7,66.71,12,"Pike County, AL",890,673,676,890,1083,1196,0110999999
01111,Randolph County,Alabama,22310,2023,11075,1920,9102,17.34,82.19,Republican,184000,106.8,Moderate,44,62.94,12,"Randolph County, AL",740,560,655,740,1052,1109,0111199999
01113,Russell County,Alabama,58858,2023,20679,10422,10078,50.4,48.74,Democrat,152300,88.4,Moderate,37.2,65.54,12,"Columbus, GA-AL HUD Metro FMR Area",945,759,819,945,1276,1610,0111399999
01115,St. Clair County,Alabama,92903,2023,43440,7640,35501,17.59,81.72,Republican,218500,126.8,Moderate,41,63.50,12,"Birmingham-Hoover, AL HUD Metro FMR Area",1075,866,942,1075,1376,1494,0111599999
01117,Shelby County,Alabama,226955,2023,114043,33087,79666,29.01,69.86,Republican,298700,173.4,Expensive,40,64.49,12,"Birmingham-Hoover, AL HUD Metro FMR Area",1075,866,942,1075,1376,1494,0111799999
01119,Sumter County,Alabama,12020,2023,5297,3725,1542,70.32,29.11,Democrat,84100,48.8,Very Affordable,34.9,66.37,12,"Sumter County, AL",897,679,690,897,1092,1211,0111999999
01121,Talladega County,Alabama,81170,2023,33175,10898,22100,32.85,66.62,Republican,137900,80.0,Moderate,42.2,64.00,12,"Talladega County, AL",754,504,573,754,1033,1102,0112199999
01123,Tallapoosa County,Alabama,41070,2023,19980,4975,14884,24.9,74.49,Republican,144800,84.0,Moderate,45.4,63.74,12,"Tallapoosa County, AL",790,598,600,790,1049,1076,0112399999
01125,Tuscaloosa County,Alabama,234036,2023,84879,33399,50724,39.35,59.76,Republican,233700,135.6,Moderate,33,64.86,12,"Tuscaloosa, AL HUD Metro FMR Area",1018,816,822,1018,1277,1368,0112599999
01127,Walker County,Alabama,64886,2023,29747,4102,25464,13.79,85.6,Republican,131100,76.1,Moderate,41.3,63.80,12,"Walker County, AL",740,560,562,740,1004,1042,0112799999
01129,Washington County,Alabama,15270,2023,8430,1863,6534,22.1,77.51,Republican,152800,88.7,Moderate,44.1,67.93,12,"Washington County, AL HUD Metro FMR Area",883,661,712,883,1075,1252,0112999999
01131,Wilcox County,Alabama,10347,2023,5260,3449,1793,65.57,34.09,Democrat,84200,48.9,Very Affordable,42,67.28,12,"Wilcox County, AL",892,675,686,892,1086,1198,0113199999
01133,Winston County,Alabama,23637,2023,11129,884,10191,7.94,91.57,Republican,110500,64.1,Affordable,45.3,62.44,12,"Winston County, AL",740,560,562,740,1014,1018,0113399999
02013,Aleutians East Borough,Alaska,3423,2023,7271,3682,3589,50.64,49.36,Democrat,144300,83.7,Moderate,41.8,71.04,12,"Aleutians East Borough, AK",1234,865,937,1234,1502,1873,0201399999
02016,Aleutians West Census Area,Alaska,5178,2023,9273,5344,3929,57.63,42.37,Democrat,419100,243.2,Very Expensive,39.1,38.1,,"Aleutians West Census Area, AK",1797,1202,1365,1797,2187,2414,0201699999
02020,Anchorage Municipality,Alaska,289069,2023,6965,3924,3041,56.34,43.66,Democrat,375900,218.2,Very Expensive,34.9,36.3,,"Anchorage, AK HUD Metro FMR Area",1352,932,1027,1352,1921,2303,0202099999
02050,Bethel Census Area,Alaska,18487,2023,17451,7347,10104,40.50,55.70,Republican,120600,70.0,Affordable,28.7,28.5,,"Bethel Census Area, AK",1819,1417,1426,1819,2214,2444,0205099999
02060,Bristol Bay Borough,Alaska,878,2023,805,339,466,40.50,55.70,Republican,269800,156.6,Expensive,39.3,36.2,,"Bristol Bay Borough, AK",1097,769,833,1097,1559,1665,0206099999
02063,Chugach Census Area,Alaska,6964,2023,6594,2776,3818,40.50,55.70,Republican,330900,192.0,Expensive,38.4,35.8,,"Chugach Census Area, AK",1282,899,974,1282,1663,1946,0206399999
02066,Copper River Census Area,Alaska,2626,2023,2518,1060,1458,40.50,55.70,Republican,246700,143.2,Moderate,45.5,32.4,,"Copper River Census Area, AK",1168,781,889,1168,1518,1990,0206699999
02068,Denali Borough,Alaska,2029,2023,1558,656,902,40.50,55.70,Republican,262000,152.1,Expensive,44.1,29.7,,"Denali Borough, AK",1456,1021,1106,1456,1772,2210,0206899999
02070,Dillingham Census Area,Alaska,4780,2023,4527,1906,2621,40.50,55.70,Republican,163800,95.1,Moderate,30.9,34.1,,"Dillingham Census Area, AK",1261,884,958,1261,1535,1694,0207099999
02090,Fairbanks North Star Borough,Alaska,95555,2023,92319,38866,53453,40.50,55.70,Republican,282500,164.0,Expensive,32.4,26.9,,"Fairbanks, AK MSA",1485,993,1128,1485,2110,2529,0209099999
02100,Haines Borough,Alaska,2077,2023,2476,1042,1434,40.50,55.70,Republican,318900,185.1,Expensive,52.4,41.3,,"Haines Borough, AK",1311,919,996,1311,1700,1990,0210099999
02105,Hoonah-Angoon Census Area,Alaska,2313,2023,1946,819,1127,40.50,55.70,Republican,278300,161.5,Expensive,51.4,42.1,,"Hoonah-Angoon Census Area, AK",1219,855,928,1219,1529,1850,0210599999
02110,Juneau City and Borough,Alaska,31969,2023,31029,13063,17966,40.50,55.70,Republican,432500,251.0,Very Expensive,39.8,42.6,,"Juneau City and Borough, AK",1499,1002,1176,1499,2130,2236,0211099999
02122,Kenai Peninsula Borough,Alaska,59843,2023,58480,24620,33860,40.50,55.70,Republican,297500,172.7,Expensive,41.5,35.4,,"Kenai Peninsula Borough, AK",1179,901,903,1179,1676,1895,0212299999
02130,Ketchikan Gateway Borough,Alaska,13870,2023,13418,5649,7769,40.50,55.70,Republican,379000,220.0,Very Expensive,40.8,44.8,,"Ketchikan Gateway Borough, AK",1354,905,1029,1354,1815,2306,0213099999
02150,Kodiak Island Borough,Alaska,12878,2023,12603,5306,7297,40.50,55.70,Republican,382700,222.1,Very Expensive,35.4,39.2,,"Kodiak Island Borough, AK",1636,1094,1243,1636,2023,2431,0215099999
02158,Kusilvak Census Area,Alaska,8277,2023,8050,3389,4661,40.50,55.70,Republican,72700,42.2,Very Affordable,23.6,25.3,,Kusilvak Census Area,913,640,694,913,1111,1386,0215899999
02164,Lake and Peninsula Borough,Alaska,1007,2023,1532,645,887,40.50,55.70,Republican,166100,96.4,Moderate,33.4,36.8,,"Lake and Peninsula Borough, AK",863,605,733,863,1204,1310,0216499999
02170,Matanuska-Susitna Borough,Alaska,110677,2023,105127,44258,60869,40.50,55.70,Republican,319200,185.3,Expensive,36.6,33.1,,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",1164,830,884,1164,1654,1983,0217099999
02180,Nome Census Area,Alaska,9925,2023,9624,4052,5572,40.50,55.70,Republican,201000,116.7,Moderate,29.4,23.8,,"Nome Census Area, AK",1467,1156,1163,1467,2085,2227,0218099999
02185,North Slope Borough,Alaska,10891,2023,10691,4501,6190,40.50,55.70,Republican,219600,127.5,Moderate,35.2,10.9,,"North Slope Borough, AK",1776,1188,1349,1776,2162,2386,0218599999
02188,Northwest Arctic Borough,Alaska,7611,2023,7624,3210,4414,40.50,55.70,Republican,162500,94.3,Moderate,28.3,19.6,,"Northwest Arctic Borough, AK",1720,1150,1307,1720,2302,2311,0218899999
02195,Petersburg Borough,Alaska,3394,2023,3269,1376,1893,40.50,55.70,Republican,301300,174.9,Expensive,45.7,43.2,,Petersburg Borough,1274,893,976,1274,1551,2069,0219599999
02198,Prince of Wales-Hyder Census Area,Alaska,5730,2023,5534,2330,3204,40.50,55.70,Republican,221800,128.7,Moderate,43.7,43.7,,"Prince of Wales-Hyder Census Area, AK",1020,764,866,1020,1331,1370,0219899999
02220,Sitka City and Borough,Alaska,8393,2023,8136,3425,4711,40.50,55.70,Republican,442100,256.6,Very Expensive,39.6,43.9,,"Sitka City and Borough, AK",1316,956,1110,1316,1870,2228,0222099999
02230,Skagway Municipality,Alaska,1308,2023,1138,479,659,40.50,55.70,Republican,430000,249.6,Very Expensive,42.5,40.8,,"Skagway Municipality, AK",1389,963,1072,1389,1690,2108,0223099999
02240,Southeast Fairbanks Census Area,Alaska,6936,2023,6705,2823,3882,40.50,55.70,Republican,262800,152.5,Expensive,37.9,25.1,,"Southeast Fairbanks Census Area, AK",1237,867,977,1237,1651,1994,0224099999
02275,Wrangell City and Borough,Alaska,2106,2023,2046,861,1185,40.50,55.70,Republican,289700,168.1,Expensive,44.3,44.1,,"Wrangell City and Borough, AK",993,694,754,993,1411,1507,0227599999
02282,Yakutat City and Borough,Alaska,506,2023,639,269,370,40.50,55.70,Republican,185000,107.4,Moderate,53.2,40.5,,"Yakutat City and Borough, AK",1261,884,958,1261,1535,1914,0228299999
02290,Yukon-Koyukuk Census Area,Alaska,5271,2023,4992,2102,2890,40.50,55.70,Republican,87800,51.0,Affordable,37.3,22.4,,"Yukon-Koyukuk Census Area, AK",957,829,847,957,1351,1453,0229099999
04001,Apache County,Arizona,65680,2023,32019,18872,12795,58.94,39.96,Democrat,68500,39.8,Very Affordable,36.2,59.19,12,"Apache County, AZ",925,618,703,925,1233,1284,0400199999
04003,Cochise County,Arizona,125458,2023,58923,22296,35936,37.84,60.99,Republican,207400,120.4,Moderate,42.9,43.60,12,"Sierra Vista-Douglas, AZ MSA",964,727,775,964,1370,1642,0400399999
04005,Coconino County,Arizona,144643,2023,70067,41504,27576,59.23,39.36,Democrat,413200,239.8,Very Expensive,32.4,57.65,12,"Flagstaff, AZ MSA",1615,1227,1308,1615,1974,2387,0400599999
04007,Gila County,Arizona,53610,2023,27648,8504,18901,30.76,68.36,Republican,247000,143.4,Moderate,51.4,60.09,12,"Gila County, AZ",1100,830,836,1100,1517,1522,0400799999
04009,Graham County,Arizona,38860,2023,15183,3867,11177,25.47,73.62,Republican,202700,117.6,Moderate,34.4,57.99,12,"Graham County, AZ",1026,845,850,1026,1458,1748,0400999999
04011,Greenlee County,Arizona,9452,2023,3308,954,2308,28.84,69.77,Republican,136300,79.1,Moderate,36.1,61.01,12,"Greenlee County, AZ",955,639,846,955,1162,1288,0401199999
04012,La Paz County,Arizona,16605,2023,7624,2101,5470,27.56,71.75,Republican,117600,68.3,Affordable,59.7,71.82,12,"La Paz County, AZ",1111,743,844,1111,1579,1605,0401299999
04013,Maricopa County,Arizona,4491987,2023,2053945,980016,1051531,47.71,51.2,Republican,414700,240.7,Very Expensive,37.5,59.71,12,"Phoenix-Mesa-Scottsdale, AZ MSA",1740,1344,1467,1740,2386,2716,0401399999
04015,Mohave County,Arizona,217420,2023,110450,24081,85683,21.8,77.58,Republican,253200,147.0,Moderate,53.2,52.13,12,"Lake Havasu City-Kingman, AZ MSA",1058,711,831,1058,1473,1651,0401599999
04017,Navajo County,Arizona,107744,2023,50706,20754,29480,40.93,58.14,Republican,186100,108.0,Moderate,39.4,53.51,12,"Navajo County, AZ",1037,722,788,1037,1336,1393,0401799999
04019,Pima County,Arizona,1049947,2023,513176,292450,214669,56.99,41.83,Democrat,286900,166.5,Expensive,39.7,55.30,12,"Tucson, AZ MSA",1175,786,893,1175,1670,1955,0401999999
04021,Pinal County,Arizona,449219,2023,209552,80656,126926,38.49,60.57,Republican,312100,181.1,Expensive,40.3,60.04,12,"Phoenix-Mesa-Scottsdale, AZ MSA",1740,1344,1467,1740,2386,2716,0402199999
04023,Santa Cruz County,Arizona,48209,2023,19121,11265,7699,58.91,40.26,Democrat,216100,125.4,Moderate,37.9,54.18,12,"Santa Cruz County, AZ",905,605,688,905,1240,1245,0402399999
04025,Yavapai County,Arizona,241656,2023,149402,48717,99346,32.61,66.5,Republican,392900,228.0,Very Expensive,55,73.98,12,"Prescott Valley-Prescott, AZ MSA",1281,857,1042,1281,1769,2045,0402599999
04027,Yuma County,Arizona,207685,2023,68195,26823,40745,39.33,59.75,Republican,195700,113.6,Moderate,35.8,59.77,12,"Yuma, AZ MSA",1073,810,815,1073,1514,1828,0402799999
05001,Arkansas County,Arkansas,16773,2023,5547,1503,3951,27.1,71.23,Republican,129400,75.1,Moderate,41,49.51,12,"Arkansas County, AR",761,509,578,761,926,1110,0500199999
05003,Ashley County,Arkansas,18722,2023,7030,1774,5145,25.23,73.19,Republican,88800,51.5,Affordable,42.7,43.87,12,"Ashley County, AR",720,594,597,720,876,1226,0500399999
05005,Baxter County,Arkansas,42150,2023,20954,4341,16253,20.72,77.57,Republican,165400,96.0,Moderate,51.9,49.15,12,"Baxter County, AR",794,599,603,794,981,1130,0500599999
05007,Benton County,Arkansas,294541,2023,128595,45231,79907,35.17,62.14,Republican,285100,165.5,Expensive,35.8,43.94,12,"Fayetteville-Springdale-Rogers, AR MSA",930,720,764,930,1322,1582,0500799999
05009,Boone County,Arkansas,37896,2023,17112,2854,13968,16.68,81.63,Republican,169300,98.3,Moderate,41.3,54.49,12,"Boone County, AR",720,539,594,720,1023,1084,0500999999
05011,Bradley County,Arkansas,10354,2023,3209,961,2213,29.95,68.96,Republican,97000,56.3,Affordable,38.5,53.78,12,"Bradley County, AR",720,539,568,720,1005,1226,0501199999
05013,Calhoun County,Arkansas,4717,2023,2092,379,1674,18.12,80.02,Republican,97300,56.5,Affordable,44.8,44.81,12,"Calhoun County, AR",812,608,617,812,988,1155,0501399999
05015,Carroll County,Arkansas,28526,2023,11538,3812,7470,33.04,64.74,Republican,186300,108.1,Moderate,44.7,38.24,12,"Carroll County, AR",726,485,552,726,884,975,0501599999
05017,Chicot County,Arkansas,9997,2023,3490,1796,1658,51.46,47.51,Democrat,90500,52.5,Affordable,42.9,51.68,12,"Chicot County, AR",720,543,547,720,976,1226,0501799999
05019,Clark County,Arkansas,21378,2023,7657,2959,4526,38.64,59.11,Republican,147100,85.4,Moderate,31.9,37.27,12,"Clark County, AR",720,552,629,720,1006,1130,0501999999
05021,Clay County,Arkansas,14399,2023,4967,907,3968,18.26,79.89,Republican,88100,51.1,Affordable,42.6,41.09,12,"Clay County, AR",720,543,547,720,917,1154,0502199999
05023,Cleburne County,Arkansas,25048,2023,12739,1941,10595,15.24,83.17,Republican,174600,101.3,Moderate,49.5,42.96,12,"Cleburne County, AR",778,583,591,778,949,1045,0502399999
05025,Cleveland County,Arkansas,7491,2023,3374,524,2804,15.53,83.11,Republican,123400,71.6,Affordable,43.7,52.59,12,"Pine Bluff, AR MSA",815,580,619,815,1026,1095,0502599999
05027,Columbia County,Arkansas,22527,2023,7940,2466,5367,31.06,67.59,Republican,141700,82.2,Moderate,34.5,42.08,12,"Columbia County, AR",720,543,547,720,964,967,0502799999
05029,Conway County,Arkansas,20872,2023,8541,2449,5893,28.67,69,Republican,137000,79.5,Moderate,42.6,47.06,12,"Conway County, AR",720,539,547,720,1002,1105,0502999999
05031,Craighead County,Arkansas,112097,2023,37242,11210,25152,30.1,67.54,Republican,198700,115.3,Moderate,34.5,50.74,12,"Jonesboro, AR HUD Metro FMR Area",840,562,665,840,1088,1431,0503199999
05033,Crawford County,Arkansas,60792,2023,23834,4753,18615,19.94,78.1,Republican,170000,98.7,Moderate,39.1,43.25,12,"Fort Smith, AR-OK HUD Metro FMR Area",797,601,605,797,1102,1270,0503399999
05035,Crittenden County,Arkansas,47609,2023,14681,7362,7028,50.15,47.87,Democrat,155100,90.0,Moderate,36,47.15,12,"Memphis, TN-MS-AR HUD Metro FMR Area",1032,800,902,1032,1365,1584,0503599999
05037,Cross County,Arkansas,16681,2023,6534,1642,4753,25.13,72.74,Republican,104000,60.4,Affordable,40.6,39.51,12,"Cross County, AR",739,554,561,739,1034,1259,0503799999
05039,Dallas County,Arkansas,6351,2023,2324,798,1482,34.34,63.77,Republican,98200,57.0,Affordable,44.5,48.16,12,"Dallas County, AR",720,539,547,720,1023,1024,0503999999
05041,Desha County,Arkansas,11041,2023,3505,1638,1805,46.73,51.5,Republican,89100,51.7,Affordable,41.2,48.12,12,"Desha County, AR",720,539,566,720,979,1226,0504199999
05043,Drew County,Arkansas,17143,2023,6365,2050,4203,32.21,66.03,Republican,127800,74.2,Affordable,37.7,45.75,12,"Drew County, AR",761,570,578,761,933,1112,0504399999
05045,Faulkner County,Arkansas,126001,2023,54465,17752,35357,32.59,64.92,Republican,211300,122.6,Moderate,34,43.63,12,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",920,791,805,920,1227,1468,0504599999
05047,Franklin County,Arkansas,17220,2023,6971,1232,5582,17.67,80.07,Republican,118800,68.9,Affordable,42.4,39.50,12,"Franklin County, AR HUD Metro FMR Area",720,581,588,720,887,1226,0504799999
05049,Fulton County,Arkansas,12239,2023,5043,906,4040,17.97,80.11,Republican,107200,62.2,Affordable,48.6,37.25,12,"Fulton County, AR",720,481,547,720,1000,1167,0504999999
05051,Garland County,Arkansas,100062,2023,42327,13015,28359,30.75,67,Republican,176400,102.4,Moderate,45.3,38.13,12,"Hot Springs, AR MSA",879,646,673,879,1088,1424,0505199999
05053,Grant County,Arkansas,18111,2023,8078,1192,6755,14.76,83.62,Republican,154500,89.7,Moderate,40.2,36.13,12,"Grant County, AR HUD Metro FMR Area",789,679,691,789,1005,1256,0505399999
